scenario,seed,method,lambda_gain,final_rmse_all,final_rmse_inlier,final_fitness,final_rotation_error_deg,final_translation_error,final_alignment_error,iae_alignment,ise_alignment,mean_alignment_error,tv_translation_update,tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
clean,0,distance_weighted_icp,0.4,0.005182881774885215,0.005182881774885215,1.0,0.05080623075963312,0.00039956784975245116,0.006090511932233998,4.545147645652012,1.0696439816327097,0.14661766598877457,0.020262361521422283,1.220263527862655,1800.0,0.7701506119605713
clean,0,distance_weighted_icp,0.75,0.005146680568749969,0.005146680568749969,1.0,0.013557246036897152,2.304306464210728e-05,0.005305296093761048,2.579977345848289,0.603666769925004,0.08322507567252545,0.03761095443165553,2.243646993057903,1800.0,0.8304331944975608
clean,0,distance_weighted_icp,1.0,0.005146680568749978,0.005146680568749978,1.0,0.013557246082788877,2.304306477083975e-05,0.005305296094348707,2.009477819778414,0.4671976380171532,0.06482186515414239,0.05014793924502175,2.952578766192697,1800.0,0.8483289252271894
clean,0,mlp_weighted_icp,0.01,0.09327858469686412,0.034969477516844746,0.27111111111111114,11.232552677090045,0.14260797843872242,0.348212089906487,11.082095117982036,3.9626551112800543,0.35748693928974307,0.00039069963266858483,0.015273469977918107,1800.0,0.5457946443862958
clean,0,mlp_weighted_icp,0.03,0.08359736999556514,0.03549491733864015,0.3088888888888889,10.483010075648439,0.1230298431985484,0.31145731395059795,10.508908102038882,3.5709522277688155,0.33899703554964133,0.001277995684329754,0.051543135202986375,1800.0,0.5594440390178927
clean,0,mlp_weighted_icp,0.05,0.07454240232820668,0.035072019161079965,0.35,9.628839874306095,0.10530200032705926,0.2761328013983269,9.94676358080435,3.214304931765829,0.3208633413162693,0.0022530686669202365,0.09713023781451108,1800.0,0.5765613342955721
clean,0,mlp_weighted_icp,0.1,0.05592376233384242,0.0349230302505991,0.5266666666666666,7.526909072367779,0.06856189729098285,0.19975475034850307,8.643688214878049,2.488077471616001,0.2788286520928403,0.005147447246737764,0.21613639051036312,1800.0,0.6193809366655959
clean,0,mlp_weighted_icp,0.2,0.028265480416015735,0.02652706309448633,0.9605555555555556,3.364274475160756,0.021923794053074878,0.08383201922069818,6.473275613098852,1.5726071164920137,0.20881534235802748,0.01247608095460516,0.48352981504947523,1800.0,0.7026917254715103
clean,0,mlp_weighted_icp,0.4,0.0051474104543455515,0.0051474104543455515,1.0,0.011386415833941177,6.223383828906967e-05,0.005323508450974033,3.654533813945427,0.8316962970748002,0.11788818754662668,0.029118344143375725,1.3881709063431096,1800.0,0.7987587003478211
clean,0,mlp_weighted_icp,0.75,0.005146682395165784,0.005146682395165784,1.0,0.013766718215128902,2.4355321015074796e-05,0.005308704898332148,2.0821857899050067,0.4714230606016167,0.0671672835453228,0.05466678307364309,2.48004235319698,1800.0,0.8466992363455382
clean,0,mlp_weighted_icp,1.0,0.0051466823951658,0.0051466823951658,1.0,0.01376671821712816,2.4355321020854413e-05,0.005308704898357936,1.6385166620991656,0.3701250802585228,0.052855376196747274,0.07288904409830442,3.608708104726527,1800.0,0.860098844216417
