num_iterations,final_tau,final_acceptance_ratio,final_mean_residual,final_mean_label_distance,final_control_error,final_precision,final_recall,final_f1,iae,ise,total_variation_tau,sample_id,scenario,lambda_filter
2,0.5003774392595068,0.20622568093385213,0.07774392595067851,0.1044606576533437,0.03774392595067851,0.2037735849056604,0.39705882352941174,0.26932668329177056,0.07548785190135703,0.002849207892340606,0.0003774392595068399,l_shape_added_outliers_hard_mixed,added_outliers,0.005
2,0.500031030547939,0.3573667711598746,0.04310305479389819,0.05819290441991777,0.003103054793898191,0.7214912280701754,0.5077160493827161,0.5960144927536233,0.006206109587796382,1.9257898107869092e-05,3.103054793895943e-05,l_shape_added_outliers_medium_2,added_outliers,0.005
2,0.5003075611550841,0.25446082234290146,0.07075611550840774,0.08228853606069338,0.03075611550840774,0.4573170731707317,0.4573170731707317,0.4573170731707317,0.06151223101681548,0.0018918772823330382,0.00030756115508412396,l_shape_added_outliers_medium_3,added_outliers,0.005
2,0.5003254420510482,0.262,0.0725442051048272,0.09269152807308383,0.0325442051048272,0.3155216284987277,0.4542124542124542,0.37237237237237236,0.0650884102096544,0.0021182505718101217,0.0003254420510482303,l_shape_partial_overlap_hard_mixed,partial_overlap,0.005
2,0.5002919121977849,0.2846666666666667,0.06919121977848744,0.08807788936988686,0.02919121977848744,0.3864168618266979,0.4520547945205479,0.41666666666666663,0.05838243955697488,0.0017042546243119124,0.00029191219778490485,l_shape_partial_overlap_medium_2,partial_overlap,0.005
2,0.5001343167549689,0.412,0.053514398074285104,0.05841979543692228,0.013514398074285103,0.7330097087378641,0.5425149700598803,0.6235375086028906,0.026946073571174782,0.00036304886196398753,0.0001343167549688884,l_shape_partial_overlap_medium_3,partial_overlap,0.005
2,0.50016539524164,0.23866666666666667,0.05653952416400763,0.08372200153482498,0.016539524164007627,0.5027932960893855,0.4639175257731959,0.482573726541555,0.033079048328015254,0.0005471117191435844,0.00016539524164005392,l_shape_scene_change_hard_mixed,scene_change,0.005
2,0.5,0.4495476687543493,0.02136028048409517,0.037699597571327126,0.0,0.9860681114551083,0.4953343701399689,0.6594202898550724,0.0,0.0,0.0,l_shape_scene_change_medium_2,scene_change,0.005
2,0.5,0.49230769230769234,0.01383705594672286,0.024860792640249478,0.0,0.9972826086956522,0.5620214395099541,0.7189030362389816,0.0,0.0,0.0,l_shape_scene_change_medium_3,scene_change,0.005
2,0.5001251610953972,0.3993333333333333,0.05248575865549711,0.06948785800034536,0.012485758655497108,0.5542570951585977,0.6148148148148148,0.5829675153643548,0.025001868195215923,0.0003125471672135613,0.0001251610953971749,l_shape_static_noise_hard_mixed,static_noise,0.005
2,0.5001201368111857,0.4066666666666667,0.052013681118572186,0.0706637864031076,0.012013681118572185,0.6721311475409836,0.5380577427821522,0.597667638483965,0.02402736223714437,0.00028865706803747566,0.00012013681118572261,l_shape_static_noise_medium_2,static_noise,0.005
2,0.5002901436104454,0.30666666666666664,0.06901436104454907,0.09166593814802504,0.029014361044549068,0.3282608695652174,0.5531135531135531,0.41200545702592084,0.058028722089098136,0.001683666293646893,0.0002901436104454369,l_shape_static_noise_medium_3,static_noise,0.005
2,0.5001380947856295,0.148,0.06680947856295487,0.06967183589897706,0.0788094785629549,0.6396396396396397,0.2591240875912409,0.36883116883116884,0.1576189571259098,0.012421867822729693,0.00013809478562953892,l_shape_strong_noise_hard_mixed,strong_noise,0.005
2,0.5000900095647367,0.14733333333333334,0.06216762314034194,0.0734172074364627,0.0748342898070086,0.5972850678733032,0.2543352601156069,0.3567567567567567,0.1496685796140172,0.011200341861838702,9.000956473670385e-05,l_shape_strong_noise_medium_2,strong_noise,0.005
3,0.5002116926523812,0.15933333333333333,0.06070562100245687,0.07819254834498866,0.06137228766912355,0.5397489539748954,0.2388888888888889,0.33119383825417203,0.1833748862405681,0.011209149987595415,0.00021169265238119017,l_shape_strong_noise_medium_3,strong_noise,0.005
2,0.4996222571945277,0.0205,0.047100719452770626,0.14132211728023236,0.18660071945277065,0.43902439024390244,0.0743801652892562,0.127208480565371,0.3732014389055413,0.06963965700058324,0.0003777428054723142,real_20260626_143302_palletizer_005_part_2_refined_from_voxel005_easy,real_previous_registration,0.005
2,0.49953510716925353,0.014042867701404288,0.01843475899745938,0.13411971926073812,0.18595713229859573,0.15789473684210525,0.011627906976744186,0.021660649819494584,0.37191426459719146,0.06916011010543487,0.00046489283074646615,real_20260626_144015_pallet_rack_05_part1_refined_from_voxel005_easy,real_previous_registration,0.005
2,0.4999205903871457,0.004434589800443459,0.08095039126446128,0.11427410758301666,0.23651580146401785,0.3333333333333333,0.0045045045045045045,0.008888888888888889,0.4730316029280357,0.11187944868433342,7.94096128542976e-05,real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005_easy,real_previous_registration,0.005
2,0.49951847745750183,0.007390983000739098,0.01583592821949135,0.13187238440481514,0.19260901699926092,0.0,0.0,0.0,0.38521803399852184,0.07419646685884317,0.0004815225424981695,real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005_hard,real_previous_registration,0.005
